PC1,PC2,PC3
0.13159847,-0.22137938,-0.06360435
0.2126594,-0.21911058,-0.08051858
0.31501618,-0.18305685,-0.07002788
0.42315897,-0.10631182,-0.020673295
0.5248088,0.008939047,0.06648841
-0.5732651,-0.006178135,-0.1204436
-0.5009733,0.06296741,-0.08609503
-0.43373385,0.12350791,-0.051157773
-0.37159202,0.17103097,-0.01819568
-0.31461617,0.20195036,0.0103175
-0.26355365,0.21434481,0.03277762
-0.21976794,0.20895638,0.049475413
-0.18467005,0.18927473,0.06287266
-0.1590494,0.16031215,0.07674975
-0.14265572,0.12686716,0.0947175
-0.13410722,0.092455566,0.11888734
-0.13098021,0.05933077,0.14909682
-0.13012016,0.029031852,0.18270296
-0.128293,0.002779889,0.21503074
-0.123192124,-0.018539695,0.24070154
-0.114209,-0.034564033,0.25559708
-0.10230421,-0.045534454,0.25840354
-0.089086086,-0.052263986,0.2507138
-0.075892925,-0.05605966,0.23578127
-0.06343046,-0.05857357,0.21695073
-0.05187066,-0.061578948,0.19665167
-0.041077636,-0.066749424,0.17613795
-0.030770043,-0.07551359,0.15569025
-0.020565892,-0.0889842,0.13494995
-0.00989227,-0.10791768,0.11317329
0.0023868561,-0.13254187,0.08937342
0.018865054,-0.16212796,0.062359914
0.045287076,-0.19401337,0.03103722
0.09199356,-0.22164951,-0.0038684872
0.17070782,-0.23159377,-0.035127673
0.28270054,-0.2038455,-0.044860706
0.4103131,-0.12367786,-0.01167659
0.5318924,0.007979378,0.075060666
-0.5734162,-0.0061576595,-0.120626494
-0.49861,0.06840971,-0.09042455
-0.42931455,0.13289262,-0.057631735
-0.3655287,0.18343708,-0.02561726
-0.30706146,0.21719912,0.0024932255
-0.2542286,0.23272078,0.024267511
-0.2079892,0.23070362,0.038975056
-0.16955863,0.21441428,0.04817729
-0.1397711,0.18891083,0.05527199
-0.11863177,0.1593086,0.06417328
-0.105300836,0.129273,0.07793741
-0.09833239,0.10068364,0.09799431
-0.09595593,0.074161954,0.12399212
-0.09623051,0.0498635,0.15400517
-0.09721283,0.027965449,0.18494289
-0.09721761,0.00876466,0.21320842
-0.09511648,-0.007459366,0.23556668
-0.090498805,-0.02064525,0.24994974
-0.08357803,-0.03109206,0.25582698
-0.07491696,-0.039510097,0.25399303
-0.06514137,-0.046984106,0.24597047
-0.05475738,-0.0548803,0.2333723
-0.044088073,-0.06472068,0.21747743
-0.03326271,-0.07804185,0.19906572
-0.022184338,-0.096298955,0.17838018
-0.010288708,-0.12059315,0.1551875
0.0042168526,-0.15120977,0.12870431
0.026235828,-0.1864962,0.09757798
0.06653098,-0.22072177,0.0607861
0.14092174,-0.24022575,0.021967942
0.25757194,-0.22088958,-0.0032645806
0.40030688,-0.13964438,0.010942436
0.539969,0.0068851737,0.08483467
-0.57299656,-0.0062145083,-0.12011869
-0.49277437,0.07589911,-0.09404722
-0.4180199,0.14538966,-0.064309016
-0.3495235,0.1983519,-0.034724094
-0.28780997,0.2323267,-0.008590243
-0.23330678,0.24688616,0.011425079
-0.18651317,0.24383697,0.024143867
-0.14794579,0.22714825,0.030495659
-0.11780757,0.20218723,0.033281382
-0.09568382,0.17420667,0.036101066
-0.08055934,0.14694886,0.042098183
-0.07109186,0.122202955,0.053195525
-0.06593078,0.10024821,0.0699568
-0.06385823,0.08061124,0.09181189
-0.063801184,0.06266851,0.11736244
-0.06477806,0.045961656,0.14466895
-0.06588039,0.030269638,0.1715415
-0.06631184,0.015540644,0.1958514
-0.06545757,0.0017500896,0.21583731
-0.06294494,-0.01124358,0.23032337
-0.058654882,-0.023817405,0.23878603
-0.0526774,-0.03664133,0.24126202
-0.0452396,-0.050693855,0.23815428
-0.036611676,-0.067227215,0.23001301
-0.026998727,-0.087688066,0.21733136
-0.0162579,-0.11349568,0.20035498
-0.0031786691,-0.14551337,0.1788434
0.01641536,-0.18286504,0.15175776
0.05296891,-0.2206582,0.11754555
0.12401625,-0.24576138,0.077576526
0.24221341,-0.23227946,0.04403941
0.39417958,-0.15112954,0.041693266
0.54712695,0.005915433,0.093496904
-0.572101,-0.0063358466,-0.11903484
-0.48462948,0.08365302,-0.09490673
-0.4017498,0.15797316,-0.068209685
-0.32588544,0.21198903,-0.042450115
-0.25928873,0.24320744,-0.020461254
-0.20309979,0.2527428,-0.0043829605
-0.15736881,0.24457158,0.0049910326
-0.1214976,0.22420827,0.008573646
-0.09450323,0.19745927,0.00871956
-0.07508182,0.16924734,0.008403231
-0.06173019,0.14280623,0.010276113
-0.05295382,0.11961402,0.016097426
-0.047491547,0.09985058,0.026622921
-0.044385996,0.08300296,0.041798275
-0.04295007,0.06830896,0.06100181
-0.042670004,0.05500105,0.083242156
-0.04310751,0.04242098,0.107300095
-0.043833178,0.030053353,0.13184056
-0.04440255,0.017509747,0.15551479
-0.044373572,0.004475079,0.17705876
-0.04335026,-0.009369604,0.19537854
-0.041030567,-0.024437303,0.20960787
-0.03724091,-0.04131227,0.21913129
-0.031933144,-0.060794227,0.22358042
-0.025116647,-0.08395128,0.22275208
-0.016589968,-0.11192118,0.21649651
-0.0052033206,-0.1454754,0.20441616
0.0130365845,-0.1838535,0.1854504
0.0483162,-0.22260462,0.15785435
0.11822548,-0.24931659,0.12190563
0.23659562,-0.2379715,0.08682658
0.39196247,-0.15682393,0.0729211
0.55173093,0.0052916906,0.099068485
-0.5711789,-0.006460762,-0.11791901
-0.47759268,0.08829147,-0.09176126
-0.38706362,0.16492091,-0.066706285
-0.3039566,0.2176256,-0.04500018
-0.23270434,0.24368042,-0.02841692
-0.17544624,0.24602138,-0.017940404
-0.13178308,0.23116276,-0.013347899
-0.099842735,0.20624323,-0.013245401
-0.07729321,0.17724198,-0.015465532
-0.061860092,0.14829318,-0.01766973
-0.051551115,0.12169716,-0.017907474
-0.044763487,0.098365255,-0.014904367
-0.04032918,0.07838838,-0.008050879
-0.03746745,0.061466426,0.0027607176
-0.03569141,0.04713394,0.017301124
-0.03469673,0.03484509,0.035108536
-0.03426368,0.023998946,0.055543084
-0.03418509,0.0139546245,0.07781956
-0.034223527,0.004047393,0.10104194
-0.034100883,-0.0063915025,0.124244966
-0.033515092,-0.018027006,0.14644216
-0.032168426,-0.03152192,0.16666856
-0.029802164,-0.047563206,0.18401937
-0.026203826,-0.066896886,0.19767715
-0.021157458,-0.09034427,0.20691039
-0.014175097,-0.11867675,0.21099919
-0.0037467577,-0.15219,0.20902066
0.014505422,-0.1897533,0.19947134
0.050816372,-0.22695522,0.18029685
0.12177639,-0.25189427,0.15125069
0.23959085,-0.2391778,0.119195595
0.39329153,-0.15732303,0.09861825
0.5532307,0.0050885095,0.1008834
-0.57088673,-0.006500346,-0.117565446
-0.4752662,0.08715804,-0.08540995
-0.38105732,0.16229787,-0.05956389
-0.29394194,0.21184011,-0.04053372
-0.22012113,0.23256823,-0.0288206
-0.16271359,0.2287647,-0.024010777
-0.12107216,0.20888917,-0.02460825
-0.0923404,0.18113811,-0.028475313
-0.07316569,0.1512591,-0.03336936
-0.06061621,0.122395515,-0.037374973
-0.05244936,0.09584101,-0.039150782
-0.047073774,0.07191531,-0.037940387
-0.043424048,0.050613508,-0.03341669
-0.04081579,0.031900562,-0.025502274
-0.038825374,0.015765658,-0.014260666
-0.03719452,0.0021567785,0.00012931452
-0.035760056,-0.009114743,0.017358517
-0.034403097,-0.018457992,0.03697656
-0.03301701,-0.026545214,0.058404326
-0.031490464,-0.03429435,0.08096345
-0.029699879,-0.042790014,0.103905015
-0.027503522,-0.053171072,0.12642507
-0.02473136,-0.06651724,0.14766753
-0.021157451,-0.08376487,0.1667281
-0.016412733,-0.1056775,0.1826504
-0.009666937,-0.13267405,0.19435677
0.0011681621,-0.16452472,0.20045625
0.02116421,-0.19965701,0.19898668
0.060605105,-0.23355666,0.18769428
0.13408439,-0.25440744,0.16619657
0.25028908,-0.23763908,0.13937134
0.39796692,-0.15428063,0.11586264
0.55211407,0.0052397843,0.099532135
-0.5716864,-0.0063920086,-0.11853317
-0.47927025,0.07967322,-0.0785194
-0.38718688,0.14984564,-0.04946129
-0.30104315,0.1960266,-0.030531194
-0.22756459,0.21407896,-0.021373915
-0.17059723,0.2082494,-0.020509645
-0.12978505,0.18752305,-0.025320122
-0.10208621,0.16031188,-0.032843575
-0.08384741,0.1318665,-0.040495347
-0.07197965,0.10439302,-0.04645134
-0.0642398,0.078294024,-0.049702317
-0.05909684,0.053373843,-0.049857866
-0.055506695,0.029556034,-0.046856202
-0.05274525,0.0071270964,-0.040737282
-0.050306156,-0.013314202,-0.031554688
-0.04784227,-0.031049196,-0.019408757
-0.0451226,-0.04548893,-0.004522708
-0.04200421,-0.05643074,0.012720159
-0.03842384,-0.06426218,0.031816654
-0.034405027,-0.07003933,0.052237857
-0.03004975,-0.075377546,0.07350437
-0.025485467,-0.08215695,0.095176734
-0.020766342,-0.09213851,0.11675699
-0.015745575,-0.106643856,0.13756539
-0.0098945005,-0.12639228,0.1566475
-0.0019262696,-0.15142848,0.17269361
0.011007536,-0.18102407,0.18393075
0.03470702,-0.21323605,0.18809702
0.07900765,-0.24313088,0.18304534
0.15537994,-0.2582732,0.16854134
0.26810473,-0.23527265,0.14767496
0.4059095,-0.14955524,0.12410089
0.54936385,0.0056123864,0.09620386
-0.57355076,-0.006139427,-0.12078935
-0.4884519,0.06739677,-0.07413683
-0.40367675,0.1301483,-0.040757574
-0.32349417,0.17362809,-0.019299679
-0.25354695,0.19270727,-0.00932238
-0.19773763,0.19005693,-0.0091458075
-0.1564808,0.17338385,-0.015694002
-0.12749973,0.15033245,-0.025440792
-0.10763493,0.12552455,-0.03534693
-0.09406894,0.100460455,-0.043357708
-0.08469188,0.07485429,-0.048447505
-0.07801733,0.048055273,-0.050346907
-0.07296941,0.019930555,-0.04915735
-0.068752155,-0.008802445,-0.045036677
-0.06479013,-0.03667563,-0.038058277
-0.060696762,-0.061842557,-0.028252056
-0.056214783,-0.0825805,-0.0157396
-0.05115086,-0.09779485,-0.00084420195
-0.04536898,-0.10741594,0.01591382
-0.0388548,-0.11258164,0.033950724
-0.031769894,-0.11549204,0.052800234
-0.024401752,-0.11890742,0.07220111
-0.016985564,-0.12544131,0.09199289
-0.009439766,-0.1369421,0.11185742
-0.0010478271,-0.15421604,0.13105802
0.009987294,-0.17706646,0.14828052
0.02722215,-0.20437992,0.16163142
0.056728806,-0.23359086,0.16891658
0.10686251,-0.25851417,0.16845033
0.18506877,-0.26568493,0.16016111
0.29165718,-0.2341087,0.14539789
0.4165143,-0.14491509,0.12420413
0.54599726,0.0060684783,0.09212981
-0.57603514,-0.005802848,-0.12379585
-0.50004697,0.053477056,-0.073923625
-0.4253323,0.10757892,-0.037100267
-0.35460642,0.14844604,-0.011834564
-0.29140317,0.17069086,0.0020414717
-0.238633,0.17488427,0.0055482415
-0.19719501,0.16609544,0.0011724854
-0.16594438,0.15016082,-0.0077774464
